NOM_ENT,NOM_LOC_ORIGINAL,loc,lon,lat,address
BAJA CALIFORNIA,AGUA CHALE,"AGUA CHALE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,ANTON LIZARDO,"ANTON LIZARDO, MEXICO",-95.9878421,19.0563842,"95269 antón lizardo, ver., mexico"
BAJA CALIFORNIA,ARBOLITOS,"ARBOLITOS, MEXICO",-99.2491944,19.3650819,"arbolitos, 01377 ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA,ISLA DE CEDROS,"ISLA DE CEDROS, MEXICO",-115.1927777,28.0955555,"22906 isla de cedros, b.c., mexico"
BAJA CALIFORNIA,ARROYO ANCHO,"ARROYO ANCHO, MEXICO",-107.4891194,28.2183505,"31695 arroyo ancho, chih., mexico"
BAJA CALIFORNIA,BAHIA BLANCA,"BAHIA BLANCA, MEXICO",-62.2663478,-38.7183177,"bahía blanca, buenos aires province, argentina"
BAJA CALIFORNIA,CALAMAJUE,"CALAMAJUE, MEXICO",-114.416667,29.633333,"21856 calamajué, b.c., mexico"
BAJA CALIFORNIA,BAHIA DE LAS ANIMAS,"BAHIA DE LAS ANIMAS, MEXICO",-113.3525296,28.8160319,"bahía las animas, 22997 baja california, mexico"
OAXACA,PUERTO ANGEL,"PUERTO ANGEL, MEXICO",-96.49131369999999,15.6680076,"70902 puerto ángel, oaxaca, mexico"
BAJA CALIFORNIA,BAHIA FALSA,"BAHIA FALSA, MEXICO",-116.6335574,31.8809476,"bahía falsa, bellavista, 22820 ensenada, b.c., mexico"
BAJA CALIFORNIA,BAHIA SAN FRANCISQUITO,"BAHIA SAN FRANCISQUITO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,BAHIA SAN RAFAEL,"BAHIA SAN RAFAEL, MEXICO",-99.1511285,19.4271992,"c. tolsá 36, colonia centro, juárez, cuauhtémoc, 06000 ciudad de méxico, cdmx, mexico"
