NOM_ENT,NOM_LOC_ORIGINAL,nom_loc,CVE_LOC,CVE_MUN,latitud,longitud
BAJA CALIFORNIA,ARBOLITOS,Arbolitos [Puerto],020011168,02001,31.7033242,-116.6845397
BAJA CALIFORNIA,ARBOLITOS,Arbolitos [Rancho],020010679,02001,31.7304061,-116.4015122
BAJA CALIFORNIA,ARBOLITOS,Los Arbolitos,020021076,02002,32.4851572,-115.3603667
BAJA CALIFORNIA,ARBOLITOS,Los Arbolitos,020060541,02006,30.9602392,-116.0454464
BAJA CALIFORNIA,ARBOLITOS,Santa Cecilia [Rancho los Arbolitos],020014662,02001,31.7270944,-116.4068664
BAJA CALIFORNIA,ARBOLITOS,Los Arbolitos,020050141,02005,32.3898281,-117.0813897
BAJA CALIFORNIA,ARBOLITOS,Los Arbolitos (Pipila),020015905,02001,31.7391261,-116.3955906
BAJA CALIFORNIA,ARBOLITOS,Los Dos Arbolitos,020060551,02006,30.7555947,-115.9576692
BAJA CALIFORNIA,ARBOLITOS,Los Arbolitos,020014008,02001,31.0530278,-116.2090350
BAJA CALIFORNIA,ISLA%20DE%20CEDROS,Isla de Cedros,020010124,02001,28.0955556,-115.1927778
BAJA CALIFORNIA,ARROYO%20ANCHO,Arroyo Ancho,020060018,02006,29.9116439,-115.7102781
BAJA CALIFORNIA,BUFADORA,La Bufadora,020010329,02001,31.7228867,-116.7138647
BAJA CALIFORNIA,CATARINA,Rincón de Santa Catarina,020011715,02001,31.6712064,-115.7822939
BAJA CALIFORNIA,CATARINA,Santa Catarina,020060820,02006,29.7224383,-115.1307133
BAJA CALIFORNIA,CATARINA,Puerto Catarina,020060666,02006,29.5241175,-115.2697603
BAJA CALIFORNIA,CATARINA,Comunidad Indígena de Santa Catarina,020010759,02001,31.6545083,-115.8277914
BAJA CALIFORNIA,ISLA%20DE%20CEDROS,Isla de Cedros,020010124,02001,28.0955556,-115.1927778
BAJA CALIFORNIA,COLORADITO,El Coloradito [Campo],020070077,02007,30.5796319,-114.6690381
BAJA CALIFORNIA,EL%20QUEMADO,El Aguaje del Quemado,020014404,02001,31.5252617,-116.6029644
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzalito,020015952,02001,32.1481281,-115.8689589
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzal de Rodríguez,020010247,02001,31.8962206,-116.6987031
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzalito (La Nopalera),020010727,02001,31.9654097,-116.3111797
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzal [Rancho],020015110,02001,31.9788889,-116.1477778
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzalito,020024730,02002,32.6099350,-115.3502261
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzalito,020011097,02001,31.4708594,-115.7713211
BAJA CALIFORNIA,EL%20SAUZAL,El Sauzalito,020060234,02006,30.9415803,-115.9456169
BAJA CALIFORNIA,EL%20TOMATAL,El Tomatal,020060242,02006,28.4866053,-114.0672303
BAJA CALIFORNIA,SAN%20FELIPE,San Felipe (Ejido Nacionalista),020014188,02001,31.7626597,-116.5975617
