#      date     time    value 
 2055-01-16 12:00:00 23.07498 
 2055-01-16 12:00:00 23.05233 
 2055-01-16 12:00:00 23.05712 
 2055-01-16 12:00:00 23.05155 
 2055-01-16 12:00:00 23.04381 
 2055-01-16 12:00:00 23.03316 
 2055-01-16 12:00:00 23.01068 
 2055-01-16 12:00:00 22.97519 
 2055-01-16 12:00:00 22.91616 
 2055-01-16 12:00:00 22.80773 
 2055-01-16 12:00:00 23.07498 
 2055-01-16 12:00:00 23.05233 
 2055-01-16 12:00:00 23.05712 
 2055-01-16 12:00:00 23.05155 
 2055-01-16 12:00:00 23.04381 
 2055-01-16 12:00:00 23.03316 
 2055-01-16 12:00:00 23.01068 
 2055-01-16 12:00:00 22.97519 
 2055-01-16 12:00:00 22.91616 
 2055-01-16 12:00:00 22.80773 
 2055-02-15 00:00:00 22.17854 
 2055-02-15 00:00:00 22.11296 
 2055-02-15 00:00:00 22.10458 
 2055-02-15 00:00:00 22.08566 
 2055-02-15 00:00:00 22.05822 
 2055-02-15 00:00:00 22.02217 
 2055-02-15 00:00:00  21.9657 
 2055-02-15 00:00:00 21.88058 
 2055-02-15 00:00:00 21.75843 
 2055-02-15 00:00:00 21.58975 
 2055-02-15 00:00:00 22.17854 
 2055-02-15 00:00:00 22.11296 
 2055-02-15 00:00:00 22.10458 
 2055-02-15 00:00:00 22.08566 
 2055-02-15 00:00:00 22.05822 
 2055-02-15 00:00:00 22.02217 
 2055-02-15 00:00:00  21.9657 
 2055-02-15 00:00:00 21.88058 
 2055-02-15 00:00:00 21.75843 
 2055-02-15 00:00:00 21.58975 
 2055-03-16 12:00:00  22.3309 
 2055-03-16 12:00:00 22.17871 
 2055-03-16 12:00:00 22.13505 
 2055-03-16 12:00:00 22.07646 
 2055-03-16 12:00:00 21.99763 
 2055-03-16 12:00:00  21.8928 
 2055-03-16 12:00:00 21.74905 
 2055-03-16 12:00:00 21.55773 
 2055-03-16 12:00:00 21.30785 
 2055-03-16 12:00:00 20.97716 
 2055-03-16 12:00:00  22.3309 
 2055-03-16 12:00:00 22.17871 
 2055-03-16 12:00:00 22.13505 
 2055-03-16 12:00:00 22.07646 
 2055-03-16 12:00:00 21.99763 
 2055-03-16 12:00:00  21.8928 
 2055-03-16 12:00:00 21.74905 
 2055-03-16 12:00:00 21.55773 
 2055-03-16 12:00:00 21.30785 
 2055-03-16 12:00:00 20.97716 
 2055-04-16 00:00:00 23.32453 
 2055-04-16 00:00:00 23.08229 
 2055-04-16 00:00:00  22.9962 
 2055-04-16 00:00:00 22.87891 
 2055-04-16 00:00:00 22.71468 
 2055-04-16 00:00:00 22.49108 
 2055-04-16 00:00:00 22.18629 
 2055-04-16 00:00:00  21.7973 
 2055-04-16 00:00:00 21.32965 
 2055-04-16 00:00:00 20.76766 
 2055-04-16 00:00:00 23.32453 
 2055-04-16 00:00:00 23.08229 
 2055-04-16 00:00:00  22.9962 
 2055-04-16 00:00:00 22.87891 
 2055-04-16 00:00:00 22.71468 
 2055-04-16 00:00:00 22.49108 
 2055-04-16 00:00:00 22.18629 
 2055-04-16 00:00:00  21.7973 
 2055-04-16 00:00:00 21.32965 
 2055-04-16 00:00:00 20.76766 
 2055-05-16 12:00:00 25.87257 
 2055-05-16 12:00:00 25.46885 
 2055-05-16 12:00:00  25.2604 
 2055-05-16 12:00:00 24.98903 
 2055-05-16 12:00:00  24.6322 
 2055-05-16 12:00:00 24.17871 
 2055-05-16 12:00:00 23.62159 
 2055-05-16 12:00:00 22.95701 
 2055-05-16 12:00:00 22.19436 
 2055-05-16 12:00:00 21.36982 
 2055-05-16 12:00:00 25.87257 
 2055-05-16 12:00:00 25.46885 
 2055-05-16 12:00:00  25.2604 
 2055-05-16 12:00:00 24.98903 
 2055-05-16 12:00:00  24.6322 
 2055-05-16 12:00:00 24.17871 
 2055-05-16 12:00:00 23.62159 
 2055-05-16 12:00:00 22.95701 
 2055-05-16 12:00:00 22.19436 
 2055-05-16 12:00:00 21.36982 
 2055-06-16 00:00:00  28.6786 
 2055-06-16 00:00:00 28.30211 
 2055-06-16 00:00:00 28.09116 
 2055-06-16 00:00:00 27.80742 
 2055-06-16 00:00:00 27.41602 
 2055-06-16 00:00:00 26.89922 
 2055-06-16 00:00:00 26.28075 
 2055-06-16 00:00:00 25.52841 
 2055-06-16 00:00:00 24.63123 
 2055-06-16 00:00:00 23.67022 
 2055-06-16 00:00:00  28.6786 
 2055-06-16 00:00:00 28.30211 
 2055-06-16 00:00:00 28.09116 
 2055-06-16 00:00:00 27.80742 
 2055-06-16 00:00:00 27.41602 
 2055-06-16 00:00:00 26.89922 
 2055-06-16 00:00:00 26.28075 
 2055-06-16 00:00:00 25.52841 
 2055-06-16 00:00:00 24.63123 
 2055-06-16 00:00:00 23.67022 
 2055-07-16 12:00:00 30.38387 
 2055-07-16 12:00:00 30.13631 
 2055-07-16 12:00:00  30.0228 
 2055-07-16 12:00:00  29.8527 
 2055-07-16 12:00:00 29.59972 
 2055-07-16 12:00:00 29.25061 
 2055-07-16 12:00:00 28.76602 
 2055-07-16 12:00:00 28.10109 
 2055-07-16 12:00:00 27.27937 
 2055-07-16 12:00:00  26.3337 
 2055-07-16 12:00:00 30.38387 
 2055-07-16 12:00:00 30.13631 
 2055-07-16 12:00:00  30.0228 
 2055-07-16 12:00:00  29.8527 
 2055-07-16 12:00:00 29.59972 
 2055-07-16 12:00:00 29.25061 
 2055-07-16 12:00:00 28.76602 
 2055-07-16 12:00:00 28.10109 
 2055-07-16 12:00:00 27.27937 
 2055-07-16 12:00:00  26.3337 
 2055-08-16 12:00:00 31.58376 
 2055-08-16 12:00:00 31.47833 
 2055-08-16 12:00:00 31.42346 
 2055-08-16 12:00:00 31.32071 
 2055-08-16 12:00:00 31.13906 
 2055-08-16 12:00:00  30.8537 
 2055-08-16 12:00:00 30.41785 
 2055-08-16 12:00:00 29.78121 
 2055-08-16 12:00:00 28.94944 
 2055-08-16 12:00:00 27.96037 
 2055-08-16 12:00:00 31.58376 
 2055-08-16 12:00:00 31.47833 
 2055-08-16 12:00:00 31.42346 
 2055-08-16 12:00:00 31.32071 
 2055-08-16 12:00:00 31.13906 
 2055-08-16 12:00:00  30.8537 
 2055-08-16 12:00:00 30.41785 
 2055-08-16 12:00:00 29.78121 
